UDISE Code,School Name,District,Block,State,Management,Category,PIN Code
"24190708902","SMT C.R. PATEL SARSWATI VIDHYALAYA","VADODARA","SARASVANI","Gujarat","Government Aided","Secondary with Higher Secondary","391445"
"24190210901","VASAI PRIMARY SCHOOL","VADODARA","VASAI","Gujarat","Local body","Primary with Upper Primary","391110"
"24190201101","BAHERAMPURA PRIMARY SCHOOL","VADODARA","BAHERAM PURA","Gujarat","Local body","Primary","391107"
"24190200101","AKOTADAR M.P N.V. 2 PRIMARY SCHOOL","VADODARA","AKOTADAR","Gujarat","Local body","Primary","391110"
"24190706607","ANJANI SCHOOL","VADODARA","MUVAL","Gujarat","Private Unaided (Recognized)","Secondary Only","391440"
"24190706605","ARPI SCIENCE SCHOOL","VADODARA","MUVAL","Gujarat","Private Unaided (Recognized)","Higher Secondary only/Jr. College","391430"
"24190706601","MUVAL PRIMARY SCHOOL","VADODARA","MUVAL","Gujarat","Local body","Primary with Upper Primary","391430"
"24190706604","SMT K.M.PATEL NAVSARJAN VIDHYALAY","VADODARA","MUVAL","Gujarat","Government Aided","Secondary with Higher Secondary","391430"
"24190706603","GYAN SARITA VIDHYALAYA","VADODARA","MUVAL","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391430"
"24190706602","BRILIYANT SCHOOL","VADODARA","MUVAL","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391430"
"24190201301","BANAIYA PRIMARY SCHOOL","VADODARA","BANAIYA","Gujarat","Local body","Primary","391107"
"24191111501","SAMASPURA PRI SCH","VADODARA","SAMAS PURA","Gujarat","Local body","Primary","391243"
"24190202634","SHREE ADRSH SEC & HIGH SEC. SCHOOL","VADODARA","DABHOI(NAGAR)","Gujarat","Private Unaided (Recognized)","Secondary with Higher Secondary","391110"
"24190202624","KHETIVADI UTPAN BAZAR S PRI SC","VADODARA","DABHOI(NAGAR)","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391110"
"24190708307","SHREE BANDHUSAMAJ HIGHSCH","VADODARA","SADHI","Gujarat","Government Aided","Secondary with Higher Secondary","391445"
"24190708302","SADHI KANYA PRIMARY SCHOOL","VADODARA","SADHI","Gujarat","Local body","Primary","391445"
"24190708301","SADHI KUMAR PRIMARY SCHOOL","VADODARA","SADHI","Gujarat","Local body","Primary","391445"
"24190708306","JAVAHAR NAVODAY VIDHYALAY","VADODARA","SADHI","Gujarat","Jawahar Navodaya Vidyalaya","Upper Pri. Secondary and Higher Sec","391445"
"24191106501","KARALI PRI.SCH.","VADODARA","KARALI","Gujarat","Local body","Primary","391210"
"24190209311","N.V PANSOLI PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary","391110"
"24190708303","SHREE BANDHUSAMAJ HIGHSCHOOL- PRATHMIK","VADODARA","SADHI","Gujarat","Government Aided","Upper Primary only","391445"
"24190708304","SHREE BANDHUSAMAJ HIGHSCH. NON GRANTED","VADODARA","SADHI","Gujarat","Private Unaided (Recognized)","Primary with Upper Primary","391445"
"24190700501","AANTI KUMAR PRIMARY SCHOOL","VADODARA","AANTI","Gujarat","Local body","Primary with Upper Primary","391445"
"24191114301","VARNAMA PRI. SCH.","VADODARA","VARNAMA","Gujarat","Local body","Primary","391240"
"24190709301","SHIHOR PRIMARY SCHOOL","VADODARA","SHIHOR","Gujarat","Local body","Primary","391440"
"24191114304","SHREE SEVA SAMAJ SHARDAMANDIR VARNAMA (9 TO 12)","VADODARA","VARNAMA","Gujarat","Government Aided","Secondary with Higher Secondary","391240"
"24190705401","LOLA PRIMARY SCHOOL","VADODARA","LOLA","Gujarat","Local body","Primary","391430"
"24191114303","SAV SAMAJ SARDAMANDIR SCH (6 TO 8)","VADODARA","VARNAMA","Gujarat","Government Aided","Upper Primary only","391240"
"24190207301","NAVAPURA PRIMARY SCHOOL","VADODARA","NAVAPURA","Gujarat","Local body","Primary","391107"
"24190211001","VASAIPURA PRIMARY SCHOOL","VADODARA","VASAIPURA","Gujarat","Local body","Primary","391110"
"24190701701","CHITRAL PRIMARY SCHOOL","VADODARA","CHITRAL","Gujarat","Local body","Primary","391440"
"24191301902","KAVI DAYARAM PRI SCHOOL (MORNING)","VADODARA","BABAJIPURA WARD - 19","Gujarat","Local body","Primary with Upper Primary","390015"
"24191109901","RAGHAVPURA PRI SCH","VADODARA","RAGAV PURA","Gujarat","Local body","Primary with Upper Primary","391310"
"24190209320","NARANPURA PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary","391110"
"24191109701","RABHIPURA PRI.SCH.","VADODARA","RABHIPURA","Gujarat","Local body","Primary","392012"
"24190200401","ANGUTHANA PRIMARY SCHOOL","VADODARA","ANGUTHANA","Gujarat","Local body","Primary with Upper Primary","391110"
"24190208001","PRAYAGPURA PRIMARY SCHOOL","VADODARA","PRAYAGPURA","Gujarat","Local body","Primary with Upper Primary","391110"
"24190208002","GOVT SECONDARY SCHOOL PRAYAGPURA","VADODARA","PRAYAGPURA","Gujarat","Department of Education","Secondary Only","391110"
"24190205404","KUNDHELA SCHOOL","VADODARA","KUNDHELA","Gujarat","Local body","Primary with Upper Primary","391107"
"24190705601","MADAPUR PRIMARY SCHOOL","VADODARA","MADAPUR","Gujarat","Local body","Primary","391440"
"24190209301","SIMALIYA PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary with Upper Primary","391110"
"24190209313","SUVALJA PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary","391110"
"24190701702","SHREE SAGAR VIDHYALAYA","VADODARA","CHITRAL","Gujarat","Government Aided","Secondary with Higher Secondary","391430"
"24190710901","VADADALA PRIMARY SCHOOL","VADODARA","VADADALA","Gujarat","Local body","Primary","391440"
"24190203402","N V GOJALI PRIMARY SCHOOL","VADODARA","GOJALI","Gujarat","Local body","Primary","391107"
"24190209306","GOPALPURA PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary","391110"
"24190209319","MOTIPURA PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary","391110"
"24190701203","BHOJ STATION VARG PRI.SCH.","VADODARA","BHOJ","Gujarat","Local body","Primary","391440"
"24190711701","VISHRAM PURA PRIMARY SCHOOL","VADODARA","VISHRAM PURA","Gujarat","Local body","Primary with Upper Primary","391440"
"24190209305","N.V. SIMALIYA PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary","391110"
"24190209318","GOVINDPURA PRIMARY SCHOOL","VADODARA","SIMLIYA","Gujarat","Local body","Primary","391110"
"24190711702","K.B.PATEL  HIGH SCHOOL","VADODARA","VISHRAM PURA","Gujarat","Private Unaided (Recognized)","Secondary with Higher Secondary","391440"
"24190201801","BHILAPUR PRIMARY SCHOOL","VADODARA","BHILAPUR","Gujarat","Local body","Primary with Upper Primary","391107"
"24190210601","VAYADPURA PRIMARY SCHOOL","VADODARA","VAYADPURA","Gujarat","Local body","Primary","391107"
"24191301323","LOKMANYA TILAK HINDI PRI SHALA (NOON)","VADODARA","WARD-7,FATEGANJ,NAVAYARD,NEWSAMA","Gujarat","Local body","Primary with Upper Primary","390012"
"24190212701","ABDALAPURA PRI. SCHOOL","VADODARA","ABDALAPURA","Gujarat","Local body","Primary","391107"
"24190704403","HARSHADPURA PRI. SCH.","VADODARA","MAJATAN","Gujarat","Local body","Primary","391450"
"24190701601","CHIRA KUI PRIMARY SCHOOL","VADODARA","KARNAKUVA","Gujarat","Local body","Primary","391440"
"24190203401","GOJALI PRIMARY SCHOOL","VADODARA","GOJALI","Gujarat","Local body","Primary","391107"
"24190708701","SANDHA PRIMARY SCHOOL","VADODARA","SANDHA","Gujarat","Local body","Primary with Upper Primary","391440"
"24191113201","SUNDARPURA PRI SCH","VADODARA","SUDAR PURA","Gujarat","Local body","Primary with Upper Primary","391243"
"24190702801","DUDHWADA PRIMARY SCHOOL","VADODARA","DUDHVADA","Gujarat","Local body","Primary with Upper Primary","391450"
